
🌺2026年3月13整理🌺,#genre#
成龙电影,http://107.150.60.122/live/lbcl.m3u8
周润发电影,http://107.150.60.122/live/lbzrf.m3u8
周星驰电影,http://107.150.60.122/live/lbzxc.m3u8
林正英影院,http://107.150.60.122/live/lblzy.m3u8
李子柒,https://live.ottiptv.cc/huya/21969336
刘德华演唱会上,http://rihou.cc:555/tv/[mv]今日演上
刘德华演唱会中,http://rihou.cc:555/tv/[mv]今日演中
刘德华演唱会下,http://rihou.cc:555/tv/[mv]今日演下
CHC动作电影,http://119.32.12.127:2905/udp/224.1.100.131:11111
CHC动作电影,http://119.32.12.127:2905/udp/225.1.101.189:7523
CHC家庭影院,http://119.32.12.127:2905/udp/224.1.100.149:11111
CHC家庭影院,http://119.32.12.127:2905/udp/225.1.101.192:7523
CHC影迷电影,http://119.32.12.127:2905/udp/225.1.101.195:7523
CHC家庭影院,http://nas.201606.xyz:4022/rtp/239.10.0.86:5140
CHC动作电影,http://nas.201606.xyz:4022/rtp/239.10.0.87:5140
CHC影迷电影,http://nas.201606.xyz:4022/rtp/239.10.0.88:5140
邵氏影院,http://lxajh.top/tv/douyu.php?id=4246519
邵氏影院,http://www.douzhicloud.site:35455/douyu/4246519

邵氏影院,http://kkk.888.3116598.xyz/api.php?n=6887925&id=qJRLwW&tk=rRN4Ws5dPOKE
粤
邵氏影院,http://kkk.888.3116598.xyz/api.php?n=6887925&id=mQHlHg&tk=uVpEJ37ah2Aq

邵氏影院z,http://120.76.248.139/live/lunbo/ssdy.m3u8
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
晴彩青少,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011525
晴彩竞技,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011528
晴彩篮球,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011529
晴彩广场舞,http://anfeind1.kmdns.net:19999/migunohosts.php?channel-id=FifastbLive&Contentid=3000000020000011523
NewTV古装剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_947_1080P_t10/c58_fast_947_1080P_t10.m3u8?d
